x,y,z,color
1.2258313,5.5162406,7.3549876,1
1.2258313,3.371036,9.653421,1
1.2258313,4.2904096,8.734048,1
1.532289,4.7500963,8.274361,1
-1.685518,7.5082164,4.596867,1
-2.6048915,6.742072,5.66947,1
-0.9193735,5.5162406,7.8146744,1
3.6774938,5.056554,6.129156,1
0.45968673,5.8226986,7.5082164,1
-0.9193735,7.5082164,5.056554,1
-0.6129156,6.2823853,6.588843,1
-0.1532289,6.2823853,6.588843,1
0.45968673,5.5162406,7.8146744,1
1.8387469,6.895301,6.129156,1
0.91937345,7.967903,4.4436383,1
4.7500963,4.903325,5.9759274,1
2.4516625,4.1371803,7.967903,1
2.1452048,5.209783,7.201759,1
0.30645782,7.8146744,4.2904096,1
-0.1532289,7.967903,4.4436383,1
-9.346964,-7.3549876,7.5082164,0
-15.322891,-6.742072,11.798626,0
-4.2904096,-4.7500963,3.371036,0
-3.217807,-4.7500963,2.9113493,0
-4.4436383,-4.1371803,3.5242648,0
-13.943831,-7.3549876,12.564771,0
-10.113108,1.685518,9.346964,0
-14.556747,-5.056554,12.871228,0
-13.177686,-6.435614,10.419566,0
-11.798626,-5.8226986,9.040505,0
-11.032481,-5.9759274,7.967903,0
-3.5242648,-4.903325,3.6774938,0
-12.258312,-7.967903,11.645397,0
-9.346964,0.61291564,6.742072,0
-9.193734,-6.2823853,6.588843,0
-13.790602,0.30645782,14.5567465,0
-3.064578,-7.201759,3.064578,0
-9.193734,3.217807,10.266336,0
-17.468096,-3.217807,14.403518,0
-9.500193,0.61291564,7.5082164,0
-19.460072,12.105083,19.153614,-1
-1.9919758,-19.460072,7.0485296,-1
-19.460072,2.4516625,2.1452048,-1
-19.460072,-6.2823853,-0.3064578,-1
-9.193734,-19.460072,6.2823853,-1
-9.959879,-18.693928,2.1452048,-1
-19.460072,7.8146744,3.9839516,-1
-16.548721,-19.460072,7.5082164,-1
-19.460072,-19.460072,13.637373,-1
-19.460072,0.15322891,14.5567465,-1
-19.460072,-19.460072,10.726024,-1
-15.169662,-3.8307228,7.8146744,-1
-7.8146744,-7.201759,0.45968673,-1
-18.540697,-19.460072,4.903325,-1
-1.685518,-18.540697,2.9113493,-1
-7.6614456,-7.8146744,2.1452048,-1
-19.460072,-11.492168,9.346964,-1
-19.460072,17.774553,7.3549876,-1
-19.460072,-4.4436383,12.717999,-1
-19.460072,19.6133,1.8387469,-1
0.30645782,6.435614,6.588843,1
0.7661445,4.596867,8.274361,1
-0.1532289,4.7500963,8.734048,1
2.1452048,4.4436383,8.121132,1
-1.685518,7.6614456,4.7500963,1
-2.4516625,7.0485296,5.5162406,1
-1.2258313,5.9759274,7.0485296,1
4.1371803,5.363012,7.0485296,1
-0.3064578,6.129156,6.895301,1
-0.7661445,7.6614456,4.7500963,1
-0.7661445,6.742072,5.8226986,1
-0.6129156,6.742072,6.2823853,1
0.15322891,5.9759274,7.201759,1
2.2984335,6.588843,6.129156,1
0.45968673,7.967903,4.1371803,1
3.8307228,5.5162406,7.8146744,1
2.7581203,3.8307228,7.967903,1
2.2984335,4.7500963,7.967903,1
0.30645782,7.8146744,5.056554,1
-0.4596867,8.121132,4.2904096,1
-17.621325,-2.7581203,12.105083,0
-14.403518,-3.217807,10.113108,0
-12.871228,-6.588843,7.6614456,0
-11.951855,-5.363012,10.879252,0
-11.645397,-4.596867,9.653421,0
-10.572795,-0.7661445,10.266336,0
-11.032481,-4.903325,12.105083,0
-12.564771,-6.742072,10.266336,0
-5.8226986,-4.596867,4.4436383,0
-2.4516625,-4.7500963,2.9113493,0
-1.685518,-3.9839516,2.7581203,0
-7.3549876,-6.129156,5.8226986,0
-12.411542,-1.532289,12.564771,0
-10.419566,-1.8387469,7.967903,0
-2.1452048,-4.596867,3.217807,0
-9.653421,1.532289,8.42759,0
-6.129156,-4.903325,3.5242648,0
-16.395493,-6.2823853,12.411542,0
-8.42759,3.217807,7.3549876,0
-11.33894,-2.1452048,9.500193,0
2.6048915,-16.85518,2.9113493,-1
-19.460072,-19.460072,15.016433,-1
-19.460072,-5.209783,5.209783,-1
-19.460072,-7.8146744,19.460072,-1
-19.460072,-19.460072,13.024457,-1
-19.460072,-19.460072,5.209783,-1
-19.460072,-8.887277,15.7825775,-1
-19.460072,-19.460072,11.951855,-1
-19.460072,-1.0726024,3.9839516,-1
-3.6774938,-17.161638,-1.2258313,-1
-19.460072,3.217807,7.201759,-1
-14.250289,-19.460072,5.363012,-1
-19.460072,-19.460072,7.5082164,-1
-19.460072,-2.1452048,19.460072,-1
-19.460072,-9.80665,13.177686,-1
-19.460072,-19.460072,16.395493,-1
-3.6774938,-10.572795,2.7581203,-1
-19.460072,-8.580819,7.201759,-1
-7.0485296,-15.322891,1.0726024,-1
-19.460072,-7.201759,-1.0726024,-1
